name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,map_url,status_hours
Vrikshya Cafe Restaurant and Bar,"Baidam Road, Pokhara 33700",vrikshyarestro.com,https://www.vrikshyarestro.com,980-2858658,restaurant,Grid Search,,,28.209,83.985,"https://www.google.com/maps/place/Vrikshya+Cafe+Restaurant+and+Bar/@28.209,83.985,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595004b5d679d:0x5c39b54c2060d6fd!8m2!3d28.2034802!4d83.9661661!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5tTjI4MmRrcEJFQUXgAQD6AQUIxAEQSA!16s%2Fg%2F11ltwq4nbb?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Open 24 hours 
Little Nepal Café & Restaurant,"6X38+Q3F, Pokhara 33700",,,981-1430273,restaurant,Grid Search,,,28.2034802,83.9481417,"https://www.google.com/maps/place/Little+Nepal+Caf%C3%A9+%26+Restaurant/@28.2034802,83.9481417,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595103653b035:0x184df809490cc9b8!8m2!3d28.2044307!4d83.9651431!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSARFmYW1pbHlfcmVzdGF1cmFudJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydEdRbUpIWXpWa1ZHeE9WREZTUzFkR1VrNVRiR1JMVFRCR2VrNUZSUkFC4AEA-gEFCL0BEEo!16s%2Fg%2F11srjm4kf9?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 7 AM Sat 
Daddys Kitchen Pokhara,"Mustang Chowk, Himali Tole Marg, Pokhara 33700",,,061-457967,restaurant,Grid Search,,,28.2034802,83.9481417,"https://www.google.com/maps/place/Daddys+Kitchen+Pokhara/@28.2034802,83.9481417,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595f636983b53:0x153b80462e41735a!8m2!3d28.1955203!4d83.9739015!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0S01WVXpXalJaYTBwRlZWZG9jMHhWTVhwaE1GcHNWV3N4VlZSWFl4QULgAQD6AQQIABAy!16s%2Fg%2F11h_yny8zs?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 7 AM Sat 
Aarhnee Garden,"Jarebar, Street 34, Pokhara 33700",,,981-4169098,restaurant,Grid Search,,,28.2034802,83.9481417,"https://www.google.com/maps/place/Aarhnee+Garden/@28.2034802,83.9481417,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595acb1ee4881:0x786cc10d58a523de!8m2!3d28.2123075!4d83.9667813!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSARBhc2lhbl9yZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxNFIxZFZhSFphTUdSdVpXMXNhRTB4YUZWVFJGSlBXVEpLYUUweVl4QULgAQD6AQQIABA-!16s%2Fg%2F11jyzl7z9p?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 12 PM Sat 
Naulo Cafe Restaurant & Thakali Bhanchha,"Behind Trademall, New Rd, Pokhara 33700",,,061-586564,restaurant,Grid Search,,,28.2034802,83.9481417,"https://www.google.com/maps/place/Naulo+Cafe+Restaurant+%26+Thakali+Bhanchha/@28.2034802,83.9481417,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595e5fbbdc745:0x93b9bcee97f43cb6!8m2!3d28.2226325!4d83.9866745!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJwYWVsZEVSa3hOYm5CUVYxUmplVTlJU2tSU1JHaE1ZMVJzYmxGWFl4QULgAQD6AQQIABA5!16s%2Fg%2F11zknhdkn4?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closes soon · 11:30 PM · Opens 9 AM Sat 
Himilayan Dorjee Restaurant Damside Pokhara,"5XX9+5VV, Pokhara 17",,,981-7134734,restaurant,Grid Search,,,28.197909,83.9516264,"https://www.google.com/maps/place/Himilayan+Dorjee+Restaurant+Damside+Pokhara/@28.197909,83.9516264,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x3995950049357e71:0xb0dcf2656068fcae!8m2!3d28.197909!4d83.9696508!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSARJ0aWJldGFuX3Jlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnROZVZKRVRucE9iVTAxVW10Wk1WWkVhRnBOUkZveFRsUm5lVmxZWXhBQuABAPoBBAgtEC4!16s%2Fg%2F11vy2cng2d?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 9:30 AM Sat 
Cafe Chiya Munch & Restaurant,"17 Damside Rd, Pokhara 33700",instagram.com,https://www.instagram.com,980-1150001,restaurant,Grid Search,,,28.197909,83.9516264,"https://www.google.com/maps/place/Cafe+Chiya+Munch+%26+Restaurant/@28.197909,83.9516264,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x3995950037284139:0xc2887b85103f815!8m2!3d28.1961533!4d83.9699886!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0U1RHTklaSEZYUm1SeVZXcE9UVkpVUWpCamJEbG1URlpKTVU1WVl4QULgAQD6AQUI4QIQRw!16s%2Fg%2F11wh332_c8?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",
Local Sukuti Restaurant,"6X66+4PM, Pokhara 33700",,,985-6021931,restaurant,Grid Search,,,28.197909,83.9516264,"https://www.google.com/maps/place/Local+Sukuti+Restaurant/@28.197909,83.9516264,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595d4e412d781:0x6ca17c8b0a20b28c!8m2!3d28.2102984!4d83.9617286!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ1TkhKWVFVaEJFQUXgAQD6AQQIABA5!16s%2Fg%2F11trlq3p4d?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 8:30 AM Sat 
You And Me Cafe and Restaurant,"Thado Pasal Path, Pokhara 33700",,,984-6718096,restaurant,Grid Search,,,28.2102984,83.9437042,"https://www.google.com/maps/place/You+And+Me+Cafe+and+Restaurant/@28.2102984,83.9437042,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x39959516d79828df:0x8720c9d23d9a73c1!8m2!3d28.207595!4d83.9659772!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSAQpyZXN0YXVyYW50mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5FZUU1NWJqWm5SUkFC4AEA-gEECAAQSQ!16s%2Fg%2F11qnkt1tjx?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",
मधुर व्यञ्जन pure veg restaurant,"6X4G+WW3, Rastra Bank Rd, Pokhara 33700",,,061-451438,restaurant,Grid Search,,,28.2102984,83.9437042,"https://www.google.com/maps/place/%E0%A4%AE%E0%A4%A7%E0%A5%81%E0%A4%B0+%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%9E%E0%A5%8D%E0%A4%9C%E0%A4%A8+pure+veg+restaurant/@28.2102984,83.9437042,15z/data=!4m11!1m3!2m2!1srestaurant!6e5!3m6!1s0x399595004e57d419:0x65ad78d66b6acda3!8m2!3d28.2072644!4d83.9772835!15sCgpyZXN0YXVyYW50WgwiCnJlc3RhdXJhbnSSARV2ZWdldGFyaWFuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblRVUlJaemwyT0hSQlJSQULgAQD6AQQIcBBJ!16s%2Fg%2F11m6c0s6qt?entry=ttu&g_ep=EgoyMDI2MDQxNC4wIKXMDSoASAFQAw%3D%3D",Closed · Opens 6:20 AM Sat 
